What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
Causes of SOB	Card 1	(2015-10-01)	Palliative Care SCE
What constipation Rx to use	Card 1	(2015-10-02)	Palliative Care SCE
Causes of bowel obstruction revision	Card 1	(2015-10-02)	Palliative Care SCE
Dosage and use of HALOPERIDOL	Card 1	(2015-10-03)	Palliative Care SCE
Mx of depression	Card 1	(2015-10-22)	Palliative Care SCE
Factors exacerbating SOB	Card 1	(2015-10-23)	Palliative Care SCE
SEs of constipation Rx	Card 1	(2015-10-23)	Palliative Care SCE
Drugs used for SOB	Card 1	(2015-10-24)	Palliative Care SCE
Rx of constipation	Card 1	(2015-11-09)	Palliative Care SCE
Features of cord compression	Card 1	(2015-11-11)	Palliative Care SCE
Cisplatin can cause a {{c2::low serum}} {{c1::magnesium}}.	Cloze 2	2015-11-11	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 8	2015-11-11	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 2	2015-11-11	Palliative Care SCE
Grading strength of recommendations?	Card 1	2015-11-12	Palliative Care SCE
What is arimidex (anastrozole)?	Card 1	2015-11-12	Palliative Care SCE
What information can you request  under the Freedom of information act?	Card 1	2015-11-12	Palliative Care SCE
Which antipsychotic has the highest risk of extrapyramidal side effects?	Card 1	2015-11-12	Palliative Care SCE
What is the mode of action of etamsylate?	Card 1	2015-11-12	Palliative Care SCE
What is the legal definition of NoK?	Card 1	2015-11-12	Palliative Care SCE
According to 'Urinary incontinence in neurological disease (2012)' NICE, in patient with a high risk of renal complications, what should be offered as screening?a) Urodynamic studiesb) Cystoscopyc) Plain abdominal filmd) Renal scintigaphye) Mid-stream urine culture	Card 1	2015-11-12	Palliative Care SCE
In the Cochrane Review 'Insertion of a stent improves symptoms in superior vena cava obstruction caused by lung cancer, while chemotherapy and radiotherapy can also be effective (2001)', what proportion of patients are relieved by chemotherapy and radiotherapy?	Card 1	2015-11-12	Palliative Care SCE
What is the level of evidence for NIV in MND?	Card 1	2015-11-12	Palliative Care SCE
According to Cochrane, what is the effect on survival for riluzole for MND?	Card 1	2015-11-12	Palliative Care SCE
What is the evidence for exercise in the management of cancer-related fatigue?	Card 1	2015-11-12	Palliative Care SCE
What is the level of evidence that corticosteroids are effective in cancer-related pain?	Card 1	2015-11-12	Palliative Care SCE
If a person has alcohol dependence, what is the effect on their licence to drive?	Card 1	2015-11-12	Palliative Care SCE
Which chemotherapies is alopecia commonly seen in?	Card 1	2015-11-12	Palliative Care SCE
{{c1::Tricyclic antidepressants}} can worsen autonomic dysfunction in Parkinson's disease, so {{c2::SSRIs or mirtazapine are preferred}} instead.	Cloze 1	2015-11-12	Palliative Care SCE
In Parkinson's disease, {{c1::Psychotic symptoms}} are potentially triggered by {{c2::anti-Parkinsonian medication}}, especially {{c3::rotigitine}} and {{c4::apomorphine}}.	Cloze 3	2015-11-12	Palliative Care SCE
In MS, beta-interferon/glatiramer is offered to patients with {{c1::relapsing/remitting disease}}, with {{c2::2 or more relapses in 2 years}} and who are {{c3::mobile >100m}}.	Cloze 1	2015-11-12	Palliative Care SCE
If a COPD patient is acidotic/hypercapnic on LTOT, consider {{c1::NIV}}.	Cloze 1	2015-11-12	Palliative Care SCE
A person who is not troubled by breathlessness except on strenuous exercise is graded on the MRC breathlessness scale at {{c1::1}}.	Cloze 1	2015-11-12	Palliative Care SCE
Eve is ambulatory and capable of all selfcare but unable to carry out any work activities; up and about more than 50% of waking hours.   Her Eastern Cooperative Oncology Group score is {{c1::2}}.	Cloze 1	2015-11-12	Palliative Care SCE
What is the drug treatment for Alzheimer's dementia?	Card 1	2015-11-12	Palliative Care SCE
What drugs are cytochrome P450 inhibitors?	Card 1	2015-11-12	Palliative Care SCE
What is required of Schedule 3 drugs?	Card 1	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~140000}} new cancer diagnoses in women, registered in England, in 2012.	Cloze 1	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~43000}} new {{c2::breast cancer}} diagnoses registered in England, in 2012.	Cloze 1	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~16000}} new {{c2::lung cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~19000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::ovarian cancer}} diagnoses registered in England, in 2012.	Cloze 1	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::pancreatic cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::renal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::lip/oral cavity/pharynx cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::leukaemia}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-12	Palliative Care SCE
Duloxetine is an {{c1::SNRI}} type of antidepressant, recommended for {{c2::diabetic neuropathy}}.	Cloze 2	2015-11-12	Palliative Care SCE
The coeliac plexus arises from the {{c1::sympathetic fibres}} of the {{c2::splanchnic nerves}} from {{c3::T5-T12}}.	Cloze 3	2015-11-12	Palliative Care SCE
{{c1::Two small RCTs}} suggest benefit from {{c2::sertraline}} in {{c3::cholestatic pruritus}}.	Cloze 3	2015-11-12	Palliative Care SCE
About {{c1::5-10%}} advanced cancer patients develop a major depression.	Cloze 1	2015-11-12	Palliative Care SCE
If there is a history of {{c1::peptic ulcer and GI bleeding}} {{c2::in the last year}} the risks of NSAID related upper GI complications are significantly increased.	Cloze 2	2015-11-12	Palliative Care SCE
According to a Cochrane review, what agents are effective at preventing chronic NSAID-related endoscopic peptic ulcers?	Card 1	2015-11-12	Palliative Care SCE
According to SIGN guidelines, patients with a solitary brain met who have SCLC or NSCLC should be offered surgical {{c1::resection}} followed by adjuvant {{c2::chemotherapy}}.	Cloze 1	2015-11-12	Palliative Care SCE
Combination intravenous systemic anticancer therapy should be considered for patients with {{c1::SCLC}} over {{c2::70}} years of age with performance status {{c3::0-2}}.	Cloze 2	2015-11-12	Palliative Care SCE
Pre-menopausal women with ER positive invasive breast cancer should be treated with {{c1::tamoxifen}} for at least {{c2:: five years, to a total of ten years}}, unless there are contraindications or side effects.	Cloze 2	2015-11-12	Palliative Care SCE
Postmenopausal women who have breast cancer, who are already on tamoxifen, after {{c1::two to three}} years, can switch to an {{c2::aromatase inhibitor}} for a total of five years.	Cloze 2	2015-11-12	Palliative Care SCE
Methadone is a {{c1::mu}}-receptor antagonist, a presynaptic {{c2::serotonin reuptake inhibitor}}, and an {{c3::NMDA receptor antagonist}}.	Cloze 1	2015-11-12	Palliative Care SCE
