"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
"<font color=""#800080"">Ceiling doses of the weak opioids</font>"	Codeine = 240mg/24hrs<div><br /></div><div>Tramadol = 400mg/24hrs</div><div><br /></div><div><br /></div>
"<font color=""#800080"">Should you combine weak opioids?</font>"	NO!! Seriously why would you?&nbsp;<div><br /></div><div>Switch to a STRONG OPIOID you bellend</div>
"<font color=""#800080"">Dosage of morphine</font>"	Start at 5-10mg 4HRLY of immediate release<div><br /></div><div>OR</div><div><br /></div><div>Start at 10-20mg 4HRLY if moving up from step 2</div>
"<font color=""#800080"">Side effects of morphine</font>"	<div>Act on mu opioid receptors</div><div><br /></div>Initial:<div>Drowsiness</div><div>N+V</div><div><br /></div><div>Common:</div><div>Constipation</div><div><br /></div><div>Rare:</div><div>Sweating</div><div>Itching</div><div><br /></div><div><br /></div><div><br /></div>
"<font color=""#800080"">Signs of opioid toxicity</font>"	<div>Potential toxicity:</div><div>Drowsiness increasing despite no dose increase</div><div>Hallucinations</div><div>Confusion</div><div>Myoclonus</div><div>Resp depression - v. serious but rare with oral titration</div><div><br /></div><div>NB/ pinpoint pupils not a reliable sign</div>
"<font color=""#800080"">Rx of opioid toxicity</font>"	<div>NALOXONE - only in emergencies</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - RR&lt;8, pt unrousable</div><div><br /></div>Usually dose reduction is adequate - do NOT stop abruptly as pain can be catastrophic<div><br /></div><div>Consider change to immediate release prep with short halflife e.g. ORAMORPH 4hrly</div>
"<font color=""#800080"">Dosage conversion between analgesics</font>"	"<img src=""Screen Shot 2014-02-15 at 18.53.58.png"" />"
"<font color=""#800080"">Calculations in prescribing morphine</font>"	If progressing from morphine - <b><u>1/10th of codeine dose</u></b><div><b><u><br /></u></b></div><div>PRN - <b><u>1/6th of daily morphine dose</u></b></div><div><b><u><br /></u></b></div><div>If converting to syringe driver - <b><u>1/2 daily morphine dose &nbsp;over 24hrs in 21mls water in 30ml syringe</u></b></div>
"<font color=""#800080"">What must be addressed when prescribing morphine</font>"	ALWAYS regular LAXATIVE<div><br /></div><div>ANTI-EMETIC if needed</div><div><br /></div><div>Warn about initial drowsiness&nbsp;</div><div><br /></div><div>Can drive if on STABLE DOSE + NOT DROWSY</div><div><br /></div>
"<font color=""#800080"">Dosage of fentanyl&nbsp;</font>"	Transdermal patches - 12, 25, 50, 75, 100 mcg/hr patches<div><br /></div><div>Last 3 days - takes 24hrs to get out of system</div><div><br /></div><div>Can take one week to reach stable dose</div><div><br /></div><div>SAFE in RENAL FAILURE</div><div><br /></div><div>Half as constipating as morphine</div>
"<font color=""#800080"">Hx and Rx of neuropathic pain</font>"	Pt complains of burning, shooting, stabbing etc<div><br /></div><div>Escalate WHO pain ladder but may require adjuvants:</div><div><br /></div><div>1) ANTICONVULSANTS e.g. gabapentin</div><div>2) TCAs e.g. amitryptylline</div><div>3) STEROIDS</div><div>4) NERVE BLOCK</div>
"<font color=""#800080"">Hx of bone pain</font>"	Caused by bone mets, if sudden onset suspect FRACTURE
"<font color=""#800080"">Rx of bone pain</font>"	1) Escalate WHO pain ladder<div><br /></div><div>2) NSAIDs esp. effective</div><div><br /></div><div>3) RADIOTHERAPY</div><div><br /></div><div>4) BISPHOSPHONATES - myeloma</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - breast Ca</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- prostate Ca</div><div><br /></div><div>5) Ix for fractures</div><div><br /></div><div>6) Ix for increased Ca2+</div><div><br /></div><div>7) Watch out for CORD COMPRESSION</div>
"<font color=""#800080"">How common is SOB in palliative care?</font>"	Pathological if breathing difficulties limit normal activities<div><br /></div><div>70% Ca pts in last weeks</div><div><br /></div><div>Severe in 25% Ca pts in last week</div><div><br /></div><div>98% COPD in last year</div><div><br /></div><div><br /></div>
"<font color=""#800080"">Causes of SOB</font>"	<b>Disease related:</b><div>Tumour in chest&nbsp;</div><div>Pleural effusion</div><div>Massive ascites</div><div><br /></div><div><b>Rx related:</b></div><div>Pneumonectomy&nbsp;</div><div>Radiation fibrosis</div><div>Chemotherapy pneumonitis</div><div>Cardiomyopathy</div><div><b><br /></b></div><div><b>Concurrent problems:</b></div><div>COPD</div><div>HF</div><div>Asthma</div><div>ANXIETY</div><div><b><br /></b></div><div><b>Debility related:</b></div><div>Anaemia</div><div>PE</div><div>Paraneoplastic</div><div>Pneumonia</div><div>Muscle weakness</div>
"<font color=""#800080"">What is Lymphangitis Carcinomatosa? How is it treated?</font>"	Diffuse infiltration of lymphatics of lungs by cancer cells&nbsp;<div><br /></div><div>Poor prognostic feature - mean survival of 3 months</div><div><br /></div><div>CORTICOSTEROIDS can improve&nbsp;</div>
"<font color=""#800080"">Factors exacerbating SOB</font>"	Anxiety (often get into cycle of SOB-Panic-Anxiety-SOB)<div><br /></div><div>Cough</div><div><br /></div><div>Constipation</div><div><br /></div><div>Anaemia</div><div><br /></div><div>Pain</div><div><br /></div><div>Previous experience</div>
"<font color=""#800080"">General Rx of SOB</font>"	1) Rx of reversible causes - Abx, blood transfusion, anti-Ca therapy.<div><br /></div><div>2) Specific Rx - stenting, aspiration/pleurodesis, steroids</div><div><br /></div><div>3) Non-drug Rx - reassurance, use of FAN, positioning, family explanation</div><div><br /></div><div>4) Symptomatic drug Rx</div>
